clip_id,hand_side,n_frames,angle_diff_deg,svd_f0_mm,wq_f0_mm,delta_f0_mm,svd_avg10_mm,wq_avg10_mm,delta_avg10_mm
hocap__subject_3__20231024_162028__seg00,left,349,22.5,37.0,42.7,5.6,20.3,21.0,0.8
hocap__subject_3__20231024_162028__seg00,right,349,17.7,31.3,62.9,31.6,17.5,45.3,27.8
hocap__subject_3__20231024_162028__seg01,left,328,16.1,29.3,31.3,2.0,18.4,18.7,0.3
hocap__subject_3__20231024_162028__seg01,right,328,10.6,24.5,50.4,25.9,17.6,28.4,10.8
hocap__subject_3__20231024_162327__seg00,right,206,12.6,29.9,59.9,30.0,18.8,34.4,15.6
hocap__subject_3__20231024_162327__seg01,right,239,9.2,29.0,56.7,27.7,17.9,30.7,12.8
hocap__subject_3__20231024_162327__seg02,right,213,13.7,31.5,63.7,32.2,20.0,36.8,16.8
hocap__subject_3__20231024_162327__seg03,right,226,18.0,30.5,63.1,32.7,19.4,33.1,13.7
hocap__subject_3__20231024_162409__seg00,left,247,21.6,33.7,38.5,4.8,20.2,20.7,0.5
hocap__subject_3__20231024_162409__seg00,right,247,15.3,31.9,64.9,33.0,19.1,44.1,25.0
hocap__subject_3__20231024_162409__seg01,left,284,16.7,39.0,41.0,2.0,21.4,21.5,0.1
hocap__subject_3__20231024_162409__seg01,right,284,15.0,32.2,64.1,31.9,18.8,41.7,22.9
hocap__subject_3__20231024_162409__seg02,left,283,15.2,34.2,36.0,1.8,18.7,18.8,0.1
hocap__subject_3__20231024_162409__seg02,right,283,15.5,31.0,61.2,30.2,18.4,38.8,20.4
hocap__subject_3__20231024_162409__seg03,left,300,14.6,31.2,32.3,1.1,17.7,17.7,0.0
hocap__subject_3__20231024_162409__seg03,right,300,14.2,31.4,62.7,31.3,18.8,36.4,17.6
hocap__subject_3__20231024_162756__seg00,right,222,16.1,32.2,65.9,33.7,19.1,41.5,22.4
hocap__subject_3__20231024_162842__seg00,left,244,18.7,35.9,38.8,2.9,19.2,19.5,0.4
hocap__subject_3__20231024_162842__seg00,right,244,17.8,34.7,68.5,33.8,19.7,49.3,29.6
hocap__subject_3__20231024_162842__seg01,left,256,11.9,33.1,32.9,-0.2,18.1,17.9,-0.2
hocap__subject_3__20231024_162842__seg01,right,256,7.9,29.0,57.1,28.1,16.5,42.8,26.2
hocap__subject_3__20231024_162842__seg02,left,292,8.5,33.1,33.5,0.3,19.6,19.5,-0.1
hocap__subject_3__20231024_162842__seg02,right,292,15.7,29.9,61.5,31.6,18.3,41.6,23.2
hocap__subject_3__20231024_162842__seg03,left,193,8.0,29.1,27.9,-1.1,18.5,18.1,-0.5
hocap__subject_3__20231024_162842__seg03,right,193,10.2,34.1,70.4,36.4,21.3,45.2,23.9
hocap__subject_4__20231026_162155__seg00,left,293,8.1,32.7,30.3,-2.3,18.5,18.3,-0.2
hocap__subject_4__20231026_162155__seg00,right,293,0.8,23.9,52.1,28.2,16.7,31.0,14.3
hocap__subject_4__20231026_162155__seg01,left,317,41.6,30.6,37.1,6.4,19.3,20.0,0.8
hocap__subject_4__20231026_162155__seg01,right,317,1.0,24.7,56.9,32.3,16.6,31.7,15.2
hocap__subject_4__20231026_162155__seg02,left,293,5.5,23.2,36.0,12.9,17.6,20.5,2.9
hocap__subject_4__20231026_162155__seg02,right,293,10.3,19.6,51.7,32.1,15.9,29.8,13.9
hocap__subject_4__20231026_162248__seg00,right,336,10.0,31.9,64.3,32.4,19.7,41.3,21.5
hocap__subject_4__20231026_162248__seg01,right,429,33.1,19.6,42.9,23.4,15.7,24.1,8.5
hocap__subject_4__20231026_163223__seg00,right,467,13.2,27.3,56.8,29.5,16.9,32.9,16.0
hocap__subject_4__20231026_163223__seg01,right,317,35.4,21.1,49.5,28.3,16.3,30.7,14.4
hocap__subject_4__20231026_163223__seg02,right,223,18.4,20.3,37.5,17.3,17.9,24.4,6.5
hocap__subject_4__20231026_164131__seg00,left,1172,27.2,22.4,30.4,8.1,16.5,17.9,1.4
hocap__subject_4__20231026_164131__seg00,right,1172,11.4,24.1,57.8,33.7,16.6,28.3,11.6
hocap__subject_4__20231026_164812__seg00,right,237,13.2,30.2,60.4,30.2,21.0,37.0,16.0
hocap__subject_4__20231026_164812__seg01,right,163,87.9,34.7,48.4,13.7,21.7,33.5,11.7
hocap__subject_4__20231026_164812__seg02,right,513,39.4,31.6,51.1,19.5,20.6,32.6,12.0
hocap__subject_4__20231026_164958__seg00,right,382,0.0,28.4,57.1,28.7,19.7,30.7,11.0
hocap__subject_5__20231027_112303__seg00,right,155,0.1,27.5,54.2,26.7,18.3,32.1,13.9
hocap__subject_5__20231027_112303__seg01,right,392,0.8,31.3,61.3,30.0,19.4,33.7,14.3
hocap__subject_5__20231027_112303__seg02,right,220,21.3,30.5,66.8,36.3,20.3,35.8,15.6
hocap__subject_5__20231027_113202__seg00,left,210,11.8,32.1,31.8,-0.3,19.0,18.3,-0.7
hocap__subject_5__20231027_113202__seg00,right,210,4.6,26.8,56.9,30.1,18.0,38.8,20.8
hocap__subject_5__20231027_113202__seg01,left,261,7.5,36.3,35.3,-1.0,20.1,19.8,-0.4
hocap__subject_5__20231027_113202__seg01,right,261,90.8,20.5,60.5,40.0,17.9,25.8,7.9
hocap__subject_5__20231027_113202__seg02,left,253,37.8,22.0,22.9,0.9,15.0,16.1,1.1
hocap__subject_5__20231027_113202__seg02,right,253,17.0,16.7,71.5,54.8,15.1,37.5,22.3
hocap__subject_5__20231027_113202__seg03,left,230,34.7,25.8,38.0,12.2,18.1,19.7,1.6
hocap__subject_5__20231027_113202__seg03,right,230,58.9,20.3,54.0,33.7,17.1,34.0,16.9
hocap__subject_5__20231027_113535__seg00,left,242,5.3,32.1,31.1,-1.0,18.7,18.3,-0.3
hocap__subject_5__20231027_113535__seg00,right,242,2.8,28.4,62.6,34.2,19.2,47.6,28.4
hocap__subject_5__20231027_113535__seg01,left,237,8.1,40.1,34.5,-5.6,22.3,21.2,-1.2
hocap__subject_5__20231027_113535__seg01,right,237,57.7,18.3,42.8,24.6,17.3,33.2,15.9
hocap__subject_5__20231027_113535__seg03,left,220,13.6,29.2,30.7,1.5,17.4,17.6,0.2
hocap__subject_5__20231027_113535__seg03,right,220,9.9,27.3,53.6,26.3,16.8,39.0,22.3
hocap__subject_6__20231025_110646__seg00,right,220,12.0,37.2,63.3,26.1,22.5,48.8,26.3
hocap__subject_6__20231025_110646__seg01,right,316,10.8,36.6,68.0,31.3,20.5,49.4,28.9
hocap__subject_6__20231025_110646__seg02,right,298,12.0,34.0,66.6,32.6,18.6,45.8,27.2
hocap__subject_6__20231025_110646__seg03,right,238,11.4,35.6,69.5,33.9,19.8,43.7,23.9
hocap__subject_6__20231025_110808__seg00,left,233,1.6,38.2,35.0,-3.2,19.8,19.1,-0.7
hocap__subject_6__20231025_110808__seg00,right,233,11.0,35.9,62.5,26.6,21.3,49.7,28.3
hocap__subject_6__20231025_110808__seg01,left,471,14.0,28.5,30.7,2.3,16.6,16.3,-0.2
hocap__subject_6__20231025_110808__seg01,right,471,27.0,32.9,60.5,27.6,18.5,33.0,14.6
hocap__subject_6__20231025_110808__seg02,left,244,10.5,39.8,43.2,3.5,22.7,23.5,0.8
hocap__subject_6__20231025_110808__seg02,right,244,18.5,39.8,76.0,36.3,21.5,57.0,35.5
hocap__subject_6__20231025_110808__seg03,left,418,72.8,19.5,62.2,42.7,17.1,25.8,8.7
hocap__subject_6__20231025_110808__seg03,right,418,40.4,29.7,44.1,14.5,20.6,29.1,8.5
hocap__subject_6__20231025_111118__seg00,right,237,8.0,36.2,63.5,27.3,20.1,38.7,18.6
hocap__subject_6__20231025_111118__seg01,right,279,11.6,38.8,72.7,33.9,20.5,48.3,27.8
hocap__subject_6__20231025_111118__seg02,right,285,8.5,36.8,68.2,31.4,20.5,47.6,27.0
hocap__subject_6__20231025_111118__seg03,right,275,13.6,34.6,63.2,28.5,18.6,44.1,25.5
hocap__subject_6__20231025_111357__seg00,right,462,12.0,37.6,64.4,26.7,20.5,35.9,15.5
hocap__subject_6__20231025_111357__seg01,right,474,13.1,34.5,67.4,32.9,18.9,43.2,24.3
