clip_id,hand_side,n_frames,mean_tip_mm,max_pen_mm,mean_pen_mm,jerk
hocap__subject_2__20231022_203100__seg02,right,248,10.2338185158406,10.734979392057888,4.540196992796378,0.22097187065492926
hocap__subject_2__20231023_163929__seg00,right,270,11.611372830688904,17.767671740465342,7.655834853474617,0.36260521936240164
hocap__subject_2__20231023_163929__seg01,right,248,12.799863606025559,29.944250105802734,18.839784292183623,0.33613124270077993
hocap__subject_2__20231023_163929__seg02,right,113,15.58561746347014,28.86472744660897,10.332317468006988,0.21053039912521737
hocap__subject_2__20231023_163929__seg03,right,175,11.832336876754079,15.192836915081648,0.0868162109433237,0.3143917469462937
hocap__subject_2__20231023_163929__seg04,right,236,14.41026894906404,15.846000900168823,1.2811774132382778,0.339460599144424
hocap__subject_2__20231023_164242__seg00,right,484,9.294082138897902,21.798361758294277,11.08331751433816,0.5361839759316018
hocap__subject_2__20231023_164242__seg01,right,448,16.19249862351835,0.0,0.0,0.4714088187250813
hocap__subject_2__20231023_164242__seg02,right,177,12.958511406077784,0.0,0.0,0.2813813726033461
hocap__subject_2__20231023_164242__seg03,right,105,20.321070891290116,0.0,0.0,0.21811965291788743
hocap__subject_2__20231023_164242__seg04,right,224,16.287119020722617,0.0,0.0,0.30819246591410043
hocap__subject_2__20231023_164741__seg00,right,419,13.133440098406197,24.427665411299813,11.23695130712459,0.5607907048905644
hocap__subject_2__20231023_164741__seg01,right,503,11.798281377448518,23.303405881546958,12.187709811068135,0.7400631820316728
hocap__subject_2__20231023_170018__seg01,left,819,12.373540072424206,26.96087895638586,2.9849596007287142,0.6053112660758838
hocap__subject_2__20231023_170018__seg01,right,819,12.489068932380947,28.90570100096465,4.495696169727228,0.6059269060659964
hocap__subject_3__20231024_154531__seg00,right,280,9.67052129555774,18.86543342930367,12.593184793897146,0.28790464630817103
hocap__subject_3__20231024_154531__seg01,right,312,10.742790903958818,22.862243771457962,8.769808239547586,0.41155753194767886
hocap__subject_3__20231024_154531__seg02,right,339,11.227192129770131,18.498834153841777,3.218682686741995,0.43812871860092034
hocap__subject_3__20231024_154531__seg03,right,323,17.525966780033183,0.0,0.0,0.48906966570034854
hocap__subject_3__20231024_154810__seg00,right,449,17.492447927213775,30.09367161633504,12.506319860992443,0.5919181642442048
hocap__subject_3__20231024_154810__seg01,right,276,12.48395465526847,20.25192196624318,8.676133687786761,0.2747261458228163
hocap__subject_3__20231024_154810__seg02,right,110,15.006251070724662,11.023151610135125,1.0046210056180669,0.24618744832756334
hocap__subject_3__20231024_155008__seg00,right,221,10.439954077089073,9.327135871948073,3.476283303533522,0.3195390029660059
hocap__subject_3__20231024_155008__seg01,right,251,14.844793514458294,20.547263067500317,7.891631663847846,0.4591262415510923
hocap__subject_3__20231024_155008__seg02,right,252,16.529568432898476,25.770862280607627,11.087386788917946,0.39221912308866835
hocap__subject_3__20231024_155008__seg03,right,208,14.7299389682955,17.85037149002459,7.694530883722118,0.37430403712412313
hocap__subject_3__20231024_161209__seg00,right,266,13.209069387431475,31.812048846594042,15.861375853026237,0.4580654538279819
hocap__subject_3__20231024_161209__seg01,right,288,15.520050466667723,27.91445475615701,12.534663064998119,0.4673156750427499
hocap__subject_3__20231024_161306__seg00,left,297,16.65437331200381,27.7921777819527,6.514601142888115,0.5291993988984008
hocap__subject_3__20231024_161306__seg00,right,297,16.77003039936134,26.30883201832842,4.56431602855676,0.4490086056229981
hocap__subject_3__20231024_161306__seg01,left,355,15.092206736710304,0.0,0.0,0.36355167181531145
hocap__subject_3__20231024_161306__seg01,right,355,20.917299966517895,0.0,0.0,0.45084394636280484
hocap__subject_3__20231024_161306__seg02,left,316,15.096188297230942,17.216794062052617,4.179698776491156,0.385302903738143
hocap__subject_3__20231024_161306__seg02,right,316,18.09626541375405,21.037252289393212,2.942140116594905,0.5220269089926866
hocap__subject_3__20231024_161306__seg03,left,259,15.0909832033136,19.95393715290746,3.902730005052307,0.5442768022490047
hocap__subject_3__20231024_161306__seg03,right,259,13.988899850285419,19.005671317517436,3.8250261175832065,0.4420502406227761
hocap__subject_3__20231024_161937__seg02,right,335,12.818826206404005,23.196231739020227,8.641535119034954,0.5510175993288442
hocap__subject_3__20231024_161937__seg03,right,287,10.519433378044884,1.3741142226874337,0.027616525156772428,0.42243072331368575
hocap__subject_3__20231024_162028__seg00,left,349,14.171857209741566,30.621831254527685,9.98963793768626,0.503596128596876
hocap__subject_3__20231024_162028__seg00,right,349,22.324426150148764,6.446376610838294,0.05107926419557599,0.6110278330286737
hocap__subject_3__20231024_162028__seg01,left,328,11.872565518336739,21.158961073766857,5.743421246351754,0.3985980216665944
hocap__subject_3__20231024_162028__seg01,right,328,14.320918267716895,15.164715745260082,1.7786590078640496,0.4900881401815509
hocap__subject_3__20231024_162327__seg00,right,206,11.577318812880485,18.230188705373436,6.479095250409099,0.34526213514501325
hocap__subject_3__20231024_162327__seg01,right,239,14.489717710617793,30.108318274538256,13.141883140056445,0.4379845848356854
hocap__subject_3__20231024_162327__seg02,right,213,14.254884309986151,35.313512290323615,17.5674459978888,0.39649221717461003
hocap__subject_3__20231024_162327__seg03,right,226,16.78119482199005,19.208718025940584,6.687882965061553,0.4180734146848948
hocap__subject_3__20231024_162409__seg00,left,247,16.103941290741034,28.023383299687925,7.3561290463772835,0.41041754783582973
hocap__subject_3__20231024_162409__seg00,right,247,17.8129834741144,23.954190515266003,8.04493475809112,0.40748350195507077
hocap__subject_3__20231024_162409__seg01,left,284,15.199453091387584,27.95737599518817,4.890481500544416,0.4652634850051825
hocap__subject_3__20231024_162409__seg01,right,284,19.677479040323863,28.481432477279466,6.512619700885465,0.5285042407090363
hocap__subject_3__20231024_162409__seg02,left,283,17.601211392981803,19.000401287313597,2.5666573735853855,0.49525266141929347
hocap__subject_3__20231024_162409__seg02,right,283,14.885481537501093,15.829366310898076,0.5176476509121302,0.5302390469142876
hocap__subject_3__20231024_162409__seg03,left,300,14.832014141391735,15.738601046140847,1.1347968741787058,0.48254967694762374
hocap__subject_3__20231024_162409__seg03,right,300,16.440153918697117,31.54417119973848,8.384104176931691,0.506971241907248
hocap__subject_3__20231024_162756__seg00,right,222,15.308228468158271,25.34503774513182,10.16821725130366,0.44863273403898735
hocap__subject_3__20231024_162842__seg00,left,244,14.673750179020683,24.817260220323913,3.707714470362111,0.47970019087907306
hocap__subject_3__20231024_162842__seg00,right,244,24.848426513825707,25.132859511520707,8.331494290183699,0.5632252102950598
hocap__subject_3__20231024_162842__seg01,left,256,13.923259979783747,10.815071466094322,1.1510466321279151,0.5521343298922352
hocap__subject_3__20231024_162842__seg01,right,256,14.902090741570229,0.0,0.0,0.5197123828528281
hocap__subject_3__20231024_162842__seg02,left,292,14.034585945426604,12.793802560504254,0.7110071048972834,0.47886165727450225
hocap__subject_3__20231024_162842__seg02,right,292,15.72020627290354,19.27265163138879,3.729644798557982,0.4841143096617946
hocap__subject_3__20231024_162842__seg03,left,193,12.179276662763334,12.296291373544452,2.234242087155938,0.37843617518654316
hocap__subject_3__20231024_162842__seg03,right,193,21.16244805822773,12.023757139999324,0.14182330687723887,0.36783757858393096
hocap__subject_4__20231026_162155__seg00,left,293,12.52467503084893,9.479037319260131,0.40225813474085154,0.39906164954117807
hocap__subject_4__20231026_162155__seg00,right,293,10.360263325892848,7.287142740292358,0.06462581131403818,0.41533390844084417
hocap__subject_4__20231026_162155__seg01,left,317,11.035961715113645,20.00412021669821,3.8216283841863126,0.6901719652800473
hocap__subject_4__20231026_162155__seg01,right,317,9.864518312381767,20.728898730644875,5.324057313684157,0.36929208544930214
hocap__subject_4__20231026_162155__seg02,left,293,11.575767622591547,35.68786651228683,8.723581243405071,0.5957593264828944
hocap__subject_4__20231026_162155__seg02,right,293,10.245376870730555,32.819938740126865,8.936303785606842,0.48738456480052644
hocap__subject_4__20231026_162248__seg00,right,336,11.465670748500246,35.46251608212487,19.604221512735176,0.48808095947049995
hocap__subject_4__20231026_162248__seg01,right,429,8.50054563543253,34.150017768153546,18.440821017506867,0.44153626375054944
hocap__subject_4__20231026_163223__seg00,right,467,10.848088780745217,13.914763417086265,0.10197247244374817,0.5928488104911146
hocap__subject_4__20231026_163223__seg01,right,317,9.012664956809587,18.127913380625678,2.387393431231969,0.601879782867854
hocap__subject_4__20231026_163223__seg02,right,223,10.119525788351874,24.98923710765832,8.908639022061378,0.3538056603414086
hocap__subject_4__20231026_164131__seg00,left,1172,13.181592630090563,26.342170511961644,2.033122031535491,1.364233539913213
hocap__subject_4__20231026_164131__seg00,right,1172,10.494864716410913,23.241539927352182,1.5299520846235704,1.3214803713520216
hocap__subject_4__20231026_164812__seg00,right,237,11.927841047681305,36.20084451213309,16.737349178940683,0.5340565157268972
hocap__subject_4__20231026_164812__seg01,right,163,7.360552941559253,0.0,0.0,0.2705274202622209
hocap__subject_4__20231026_164812__seg02,right,513,7.409771989191764,9.556251205781557,0.32940985904102427,0.5988343598413995
hocap__subject_4__20231026_164958__seg00,right,382,10.102574631186002,26.607062420742935,14.938027452234344,0.49884292375411887
hocap__subject_5__20231027_112303__seg00,right,155,12.667356950257929,22.273508647620133,11.264659690973874,0.39725270909274263
