clip_id,hand_side,object,n_frames,pct_any_tip_inside,pct_3plus_tips_inside,max_tip_depth_mm,mean_tip_depth_when_inside_mm,longest_tip_penetration_streak,pct_any_lm_inside,max_lm_depth_mm,mean_n_lm_inside
hocap__subject_2__20231022_202115__seg02,right,g06_1,368,13.858695652173914,0.0,11.442315800545158,6.62225981648943,51,13.858695652173914,11.442315800545158,1.3529411764705883
hocap__subject_2__20231022_202115__seg04,left,g06_1,300,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_2__20231022_202115__seg04,right,g06_1,300,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_2__20231022_202617__seg00,right,g09_2,231,81.81818181818183,0.0,27.491184640203972,16.047345872210823,189,81.81818181818183,27.491184640203972,3.132275132275132
hocap__subject_2__20231022_202617__seg01,right,g09_3,228,50.43859649122807,8.333333333333332,18.9462718194071,7.884650679125018,115,50.43859649122807,18.9462718194071,2.121739130434783
hocap__subject_2__20231022_202617__seg02,right,g09_4,423,36.40661938534279,0.0,23.536868339037014,11.218843858229754,124,41.843971631205676,25.578439080721324,3.0508474576271185
hocap__subject_2__20231022_202617__seg03,right,g09_1,247,59.10931174089069,16.599190283400812,11.762586245866467,6.779176404220631,140,59.10931174089069,11.762586245866467,2.136986301369863
hocap__subject_2__20231022_203100__seg02,right,g09_4,248,77.41935483870968,0.0,3.713353502251557,2.0285729028626367,189,77.41935483870968,3.713353502251557,1.2135416666666667
hocap__subject_2__20231023_163929__seg00,right,g19_3,270,63.33333333333333,1.4814814814814816,15.487387824468927,7.038144227711049,171,63.33333333333333,15.487387824468927,1.9298245614035088
hocap__subject_2__20231023_163929__seg01,right,g19_1,248,78.2258064516129,0.0,22.130371055058887,14.462224281541749,185,80.64516129032258,22.130371055058887,4.83
hocap__subject_2__20231023_163929__seg02,right,g19_1,113,39.823008849557525,0.0,21.91720169941872,19.51796933288187,45,45.13274336283185,21.91720169941872,6.431372549019608
hocap__subject_2__20231023_163929__seg03,right,g19_4,175,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_2__20231023_163929__seg04,right,g19_2,236,10.59322033898305,0.423728813559322,9.760994004742697,3.7157186351653504,22,27.54237288135593,10.411128924819176,1.9538461538461538
hocap__subject_2__20231023_164242__seg00,right,g19_1,484,71.69421487603306,13.429752066115702,21.008167433305008,9.610542658331108,345,71.69421487603306,21.008167433305008,2.6887608069164264
hocap__subject_2__20231023_164242__seg01,right,g19_1,448,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_2__20231023_164242__seg02,right,g19_1,177,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_2__20231023_164242__seg03,right,g19_2,105,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_2__20231023_164242__seg04,right,g19_1,224,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_2__20231023_164741__seg00,right,g22_3,419,81.38424821002387,49.40334128878281,21.118595257886792,11.230132754671521,341,81.38424821002387,21.118595257886792,3.3313782991202348
hocap__subject_2__20231023_164741__seg01,right,g22_2,503,79.12524850894633,65.8051689860835,18.18697369095443,5.7946115004742484,398,79.12524850894633,18.18697369095443,4.884422110552764
hocap__subject_2__20231023_170018__seg01,left,g10_1,819,17.94871794871795,0.0,24.12813658178038,11.794179543950847,143,17.94871794871795,24.12813658178038,1.9727891156462585
hocap__subject_2__20231023_170018__seg01,right,g10_1,819,22.58852258852259,8.18070818070818,24.568468269072522,14.697157394818438,185,23.565323565323563,24.568468269072522,4.191709844559585
hocap__subject_3__20231024_154531__seg00,right,g09_4,280,84.28571428571429,75.71428571428571,19.984945300585014,7.949349530280619,232,85.0,19.984945300585014,9.142857142857142
hocap__subject_3__20231024_154531__seg01,right,g09_2,312,77.24358974358975,0.0,21.63815064512494,8.177626481126275,239,78.2051282051282,22.43194330937838,2.7868852459016393
hocap__subject_3__20231024_154531__seg02,right,g09_1,339,39.233038348082594,0.0,11.376347613680531,4.489924266089482,68,39.823008849557525,11.376347613680531,1.9185185185185185
hocap__subject_3__20231024_154531__seg03,right,g09_1,323,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_3__20231024_154810__seg00,right,g09_4,449,79.06458797327394,46.99331848552338,27.213137972392342,7.258405529571667,347,80.84632516703786,27.213137972392342,7.099173553719008
hocap__subject_3__20231024_154810__seg01,right,g09_2,276,85.86956521739131,35.869565217391305,16.921210404137344,5.334901702506593,237,85.86956521739131,22.37723990990141,5.375527426160337
hocap__subject_3__20231024_154810__seg02,right,g09_1,110,12.727272727272727,0.0,9.351591653408851,6.093196443891206,14,12.727272727272727,9.351591653408851,1.0
hocap__subject_3__20231024_155008__seg00,right,g10_3,221,46.60633484162896,0.0,9.035041265882404,2.3631101213659407,50,46.60633484162896,9.035041265882404,1.6796116504854368
hocap__subject_3__20231024_155008__seg01,right,g10_4,251,50.99601593625498,43.82470119521912,10.12646973458355,4.629849748447731,126,53.78486055776892,10.12646973458355,3.8740740740740742
hocap__subject_3__20231024_155008__seg02,right,g10_1,252,57.14285714285714,34.12698412698413,17.47666431347636,7.469318540505175,144,57.14285714285714,17.47666431347636,3.486111111111111
hocap__subject_3__20231024_155008__seg03,right,g10_2,208,64.42307692307693,0.0,20.16904223235589,13.954867355365048,134,64.42307692307693,20.16904223235589,1.9850746268656716
hocap__subject_3__20231024_161209__seg00,right,g16_1,266,63.90977443609023,59.3984962406015,28.642342430257454,13.988016799480002,170,63.90977443609023,28.642342430257454,6.5
hocap__subject_3__20231024_161209__seg01,right,g16_3,288,71.18055555555556,4.861111111111112,28.05525072804061,12.062293705122373,205,71.18055555555556,28.05525072804061,3.3024390243902437
hocap__subject_3__20231024_161306__seg00,left,g16_1,297,39.05723905723906,33.33333333333333,23.2136906281405,6.6316606150286255,116,39.05723905723906,23.2136906281405,5.336206896551724
hocap__subject_3__20231024_161306__seg00,right,g16_1,297,34.34343434343434,16.835016835016837,27.709415088391964,7.798234653283794,101,34.68013468013468,27.709415088391964,4.883495145631068
hocap__subject_3__20231024_161306__seg01,left,g16_2,355,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_3__20231024_161306__seg01,right,g16_2,355,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_3__20231024_161306__seg02,left,g16_4,316,38.607594936708864,0.0,17.490089035369817,6.99893839428173,122,38.607594936708864,17.490089035369817,2.5491803278688523
hocap__subject_3__20231024_161306__seg02,right,g16_4,316,22.78481012658228,2.2151898734177213,17.54051013832324,7.934258568493658,64,22.78481012658228,17.54051013832324,2.25
hocap__subject_3__20231024_161306__seg03,left,g16_2,259,42.084942084942085,3.474903474903475,17.57569144001307,6.229418420657551,109,42.084942084942085,17.57569144001307,2.4311926605504586
hocap__subject_3__20231024_161306__seg03,right,g16_2,259,38.22393822393823,10.038610038610038,17.737581351649354,4.684476198587354,61,38.22393822393823,17.737581351649354,3.292929292929293
hocap__subject_3__20231024_161937__seg02,right,g19_1,335,64.77611940298507,31.64179104477612,22.448109198621463,9.796921438329395,200,66.86567164179105,22.448109198621463,3.267857142857143
hocap__subject_3__20231024_161937__seg03,right,g19_3,287,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_3__20231024_162028__seg00,left,g19_1,349,43.83954154727794,30.37249283667622,20.953278354938682,12.198623373623095,144,44.69914040114613,20.953278354938682,3.2756410256410255
hocap__subject_3__20231024_162028__seg00,right,g19_1,349,0.8595988538681949,0.0,0.09463090889569076,0.06171534464231973,3,0.8595988538681949,0.09463090889569076,1.0
hocap__subject_3__20231024_162028__seg01,left,g19_3,328,39.9390243902439,22.5609756097561,20.026971030878492,10.92803551522503,114,39.9390243902439,20.026971030878492,2.7404580152671754
hocap__subject_3__20231024_162028__seg01,right,g19_3,328,26.82926829268293,21.036585365853657,10.512352121755535,4.795168761017657,86,32.31707317073171,10.512352121755535,2.4716981132075473
hocap__subject_3__20231024_162327__seg00,right,g20_4,206,65.53398058252428,0.0,16.532159414971794,4.949827306564107,129,66.01941747572816,16.532159414971794,2.9779411764705883
hocap__subject_3__20231024_162327__seg01,right,g20_2,239,57.32217573221757,31.799163179916317,29.789847883323436,10.251466374340675,137,57.32217573221757,29.789847883323436,7.372262773722627
hocap__subject_3__20231024_162327__seg02,right,g20_1,213,62.441314553990615,50.70422535211267,29.299041344277224,11.495691968759226,130,62.91079812206573,29.299041344277224,6.388059701492537
hocap__subject_3__20231024_162327__seg03,right,g20_3,226,53.53982300884957,0.0,10.879121659560578,5.695371345956703,116,55.75221238938053,10.879121659560578,3.5238095238095237
hocap__subject_3__20231024_162409__seg00,left,g20_1,247,32.79352226720648,0.0,26.794300660105904,13.857246614798797,81,32.79352226720648,26.794300660105904,3.9135802469135803
hocap__subject_3__20231024_162409__seg00,right,g20_1,247,42.91497975708502,40.48582995951417,24.019313196226186,9.502558747580839,106,42.91497975708502,24.019313196226186,6.632075471698113
hocap__subject_3__20231024_162409__seg01,left,g20_3,284,29.225352112676056,23.239436619718308,25.787349822561122,9.516015219257806,83,30.633802816901408,25.787349822561122,4.712643678160919
hocap__subject_3__20231024_162409__seg01,right,g20_3,284,34.50704225352113,32.04225352112676,27.562894981465167,10.398475097032888,98,34.50704225352113,27.562894981465167,7.061224489795919
hocap__subject_3__20231024_162409__seg02,left,g20_4,283,26.855123674911663,0.0,16.78845565642626,6.623797159603141,73,26.855123674911663,16.78845565642626,1.736842105263158
hocap__subject_3__20231024_162409__seg02,right,g20_4,283,9.89399293286219,0.0,13.858794638388,3.313983165958744,28,9.89399293286219,13.858794638388,1.0
hocap__subject_3__20231024_162409__seg03,left,g20_2,300,41.0,3.0,16.599315711773183,4.3662694562534305,123,41.0,16.599315711773183,2.772357723577236
hocap__subject_3__20231024_162409__seg03,right,g20_2,300,39.33333333333333,32.33333333333333,29.69182973729106,9.388203772242273,118,39.33333333333333,29.69182973729106,7.008474576271187
hocap__subject_3__20231024_162756__seg00,right,g21_1,222,57.65765765765766,0.0,25.476569052637828,12.329526021874846,128,57.65765765765766,25.476569052637828,3.25
hocap__subject_3__20231024_162842__seg00,left,g21_1,244,35.24590163934426,5.327868852459016,26.28265978169837,7.900134507523927,85,35.24590163934426,26.28265978169837,2.802325581395349
hocap__subject_3__20231024_162842__seg00,right,g21_1,244,45.08196721311475,27.86885245901639,22.7465937140203,7.698882346241839,110,45.08196721311475,28.717112806415845,5.927272727272728
hocap__subject_3__20231024_162842__seg01,left,g21_3,256,27.34375,13.671875,8.562084247786506,3.3317730678011626,48,27.34375,8.562084247786506,2.1285714285714286
hocap__subject_3__20231024_162842__seg01,right,g21_3,256,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_3__20231024_162842__seg02,left,g21_2,292,21.91780821917808,0.0,10.521999357026877,2.7436017748619155,49,21.91780821917808,10.521999357026877,1.359375
hocap__subject_3__20231024_162842__seg02,right,g21_2,292,34.24657534246575,11.301369863013697,13.433063646884612,6.697457309189523,98,35.61643835616438,13.433063646884612,3.0673076923076925
hocap__subject_3__20231024_162842__seg03,left,g21_4,193,42.487046632124354,13.471502590673575,9.775390425230764,3.4370234064926684,78,42.487046632124354,9.775390425230764,2.3658536585365852
hocap__subject_3__20231024_162842__seg03,right,g21_4,193,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_4__20231026_162155__seg00,left,g11_4,293,5.460750853242321,0.0,6.34852070821931,3.207062708915253,16,9.215017064846416,7.069633372942701,1.8888888888888888
hocap__subject_4__20231026_162155__seg00,right,g11_4,293,2.04778156996587,0.0,6.9186981433618815,2.891750887860381,6,2.04778156996587,6.9186981433618815,1.1666666666666667
